N°;LIEU;ADRESSE;CP;Dept;;Latitude;Longitude;LIEN CHARGEMAP;;
1;AUCHAN  ;Chemin départemental 110;78200;78;BUCHELAY;48.983085;1.678852;http://fr.chargemap.com/points/details/auchan-mantes;;
2;AUCHAN  ;1449 Avenue de la République;26000;26;GUILHERAND - GRANGES;44.93636;4.87298;http://fr.chargemap.com/points/details/auchan-valence;;
3;AUCHAN  ;ZAC du mont Gaillard (Centre Commercial Grand Cap);76620;76;LE HAVRE;49.5254;0.112158;http://fr.chargemap.com/points/details/auchan-le-havre;;
4;AUCHAN  ;1 à 9 avenue du maréchal Foch - RN34;93330;93;NEUILLY/MARNE;48.856898;2.528373;http://fr.chargemap.com/points/details/auchan-neuilly-sur-marne;;
5;AUCHAN  ;Auchan Côte d'Opale Rte Nationale 42;62200;62;ST MARTIN BOULOGNE;50.73335;1.670628;http://fr.chargemap.com/points/details/auchan-boulogne;;
6;AUCHAN  ;Bd Camille Blanc - BP 19, Les Métairies;34201;34;SETE;43.406903 ;3.666297;;;
7;AUCHAN  ;Route de Laghet ;06345;06;LA TRINITE;43.747869;7.351949;http://fr.chargemap.com/points/details/auchan-nice;;
8;AUCHAN  ;Centre Commercial de la maison Neuve ;91227;91;BRETIGNY SUR ORGE;48.58766;2.30467;;;
9;AUCHAN  ;Chemin Départemental 161 ;78370;78;PLAISIR;48.828733;1.95743;;;
10;AUCHAN  ;ZAC du TRONQUET BP 88;84132;84;LE PONTET;43.959149;4.863831;;;
11;AUCHAN  ;C.Cial la Vrillonnerie Rte de Joué BP 239;37172;37;CHAMBRAY LES TOURS;47.338994;0.708564;;;
12;AUCHAN  ;Avenue de l'Espagne;66028;66;PERPIGNAN;42.688659;2.894833; http://fr.chargemap.com/points/details/auchan-perpignan;;
13;AUCHAN  ;Route de la Châtre;36330;36;LE POINCONNET;46.764821;1.800888;;;
14;AUCHAN  ;Route d'Amiens RN44 ;02100;02;ST QUENTIN LE FAYET;49.86040;3.25245;;;
