ID_station;nom_station;adresse_station;latitude_WSG84;longitude_WSG84;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observations;;;;
identifiant de la station (ou zone de charge);parking X ou quartier Y ou centre commercial Z;adresse postale complete;44.822222;4.860100;nom du porteur du projet;normale ou accŽlŽrŽe ou rapide;2;E;24/09/2014;par exemple les conditions et horaires d'accŹs ou un site web;;;;
1;Parking EFFIA Bercy;48 boulevard de Bercy 75012 PARIS;48.838768;2.38268;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/paris-bercy-90;;;;
2;Parking EFFIA Gare de Lyon (Chalon Sud);Rue de Chalon 75012 PARIS;48.844553;2.376643;EFFIA;Normale ;2;E;17/03/2015;https://www.resaplace.com/fr/parking/paris-gare-de-lyon-chalon-sud-148;;;;
3;Parking EFFIA Montparnasse Catalogne;36 rue du Commandant Mouchotte 75014 PARIS;48.838061;2.319333;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/paris-gare-montparnasse-catalogne-62;;;;
4;Parking EFFIA Montparnasse Pasteur;Place des 5 Martyrs du Lycée Buffon 75015 PARIS;48.838897;2.316774;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/paris-gare-montparnasse-pasteur-29;;;;
5;Parking EFFIA Champs-Elysées F-D Roosevelt;45 avenue Franklin Roosevelt 75008 PARIS;48.869909;2.309988;EFFIA;Normale ;5;E;17/03/2015;https://www.resaplace.com/fr/parking/paris-franklin-d-roosevelt-champs-elysees-246;;;;
6;Parking EFFIA Gare de l'Est P2 St-Martin;Cours du 11 novembre 1918 75010 PARIS;48.876514;2.360483;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/paris-gare-de-l-est-p2-saint-martin-66;;;;
7;Parking EFFIA Chelles;Avenue du Maréchal de Lattre de Tassigny 77500 CHELLES;48.873911;2.582036;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/chelles-gare-sncf-51;;;;
8;Parking EFFIA Marne la Vallée;Place des Passagers du Vent 77700 MARNE LA VALLEE;48.872272;2.783547;EFFIA;Normale ;4;E;17/03/2015;https://www.resaplace.com/fr/parking/marne-la-vallee-35;;;;
9;Parking EFFIA Gare de Massy TGV;38 avenue Carnot 91300 MASSY;48.726526;2.262207;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/massy-gare-tgv-32;;;;
10;Parking EFFIA gare de Lorraine TGV;Route departementale 910 57420 LOUVIGNY;48.946256;6.166672;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/lorraine-tgv-138;;;;
11;Parking EFFIA Gare de Metz;Place General De Gaulle 57000 METZ;49.109122;6.176753;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/metz-gare-sncf-20;;;;
12;Parking EFFIA Gare de Reims Clairmarais;Rue Edouard Mignot 51100 REIMS;49.261206;4.024122;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/reims-gare-sncf-11;;;;
13;Parking EFFIA Gare de Thionville;Cour de la Gare 57100 THIONVILLE;49.333258;6.15176;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/thionville-gare-sncf-120;;;;
14;Parking EFFIA Gare de Besançon Viotte;2 avenue de la Paix 25000 BESANCON;47.246806;6.022281;EFFIA;Normale ;2;E;17/03/2015;https://www.resaplace.com/fr/parking/besancon-gare-viotte-sncf-25;;;;
