n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24322*004;PERIGUEUX - Parking De La Gare;Parking De La Gare 24000 PERIGUEUX;24322;0,708173;45,187737;2;FR*S24*E24322*004*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24322*004;PERIGUEUX - Parking De La Gare;Parking De La Gare 24000 PERIGUEUX;24322;0,708173;45,187737;2;FR*S24*E24322*004*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24290*003;MONTIGNAC - D706 - Zone Commerciale Lacoste;D706 - Zone Commerciale Lacoste 24291 MONTIGNAC;24290;1,151401;45,055424;2;FR*S24*E24290*003*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24290*003;MONTIGNAC - D706 - Zone Commerciale Lacoste;D706 - Zone Commerciale Lacoste 24291 MONTIGNAC;24290;1,151401;45,055424;2;FR*S24*E24290*003*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24416*001;SAINT GENIES - Place De La Gare;Place De La Gare 24590 SAINT GENIES;24416;1,253506;44,993978;2;FR*S24*E24416*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24416*001;SAINT GENIES - Place De La Gare;Place De La Gare 24590 SAINT GENIES;24416;1,253506;44,993978;2;FR*S24*E24416*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24040*001;BEYNAC ET CAZENAC - Place D'Alsace;Place D'Alsace 24220 BEYNAC ET CAZENAC;24040;1,150119;44,839418;2;FR*S24*E24040*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24040*001;BEYNAC ET CAZENAC - Place D'Alsace;Place D'Alsace 24220 BEYNAC ET CAZENAC;24040;1,150119;44,839418;2;FR*S24*E24040*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24540*001;SORGES-ET-LIGUEUX-EN-PERIGORD - Place Jean Daniel;Place Jean Daniel 24420 SORGES-ET-LIGUEUX-EN-PERIGORD;24540;0,872856;45,305759;2;FR*S24*E24540*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24540*001;SORGES-ET-LIGUEUX-EN-PERIGORD - Place Jean Daniel;Place Jean Daniel 24420 SORGES-ET-LIGUEUX-EN-PERIGORD;24540;0,872856;45,305759;2;FR*S24*E24540*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24322*007;PERIGUEUX - Parking Du Centre Hospitalier;Parking Du Centre Hospitalier 24000 PERIGUEUX;24322;0,730312;45,192044;2;FR*S24*E24322*007*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24322*007;PERIGUEUX - Parking Du Centre Hospitalier;Parking Du Centre Hospitalier 24000 PERIGUEUX;24322;0,730312;45,192044;2;FR*S24*E24322*007*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24557*002;TRELISSAC - Place Napoleon Magne;Place Napoleon Magne 24750 TRELISSAC;24557;0,779958;45,195217;2;FR*S24*E24557*002*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24557*002;TRELISSAC - Place Napoleon Magne;Place Napoleon Magne 24750 TRELISSAC;24557;0,779958;45,195217;2;FR*S24*E24557*002*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24172*001;LES EYZIES DE TAYAC SIREUIL - Parking Avenue De La Forge;Parking Avenue De La Forge 24620 LES EYZIES DE TAYAC SIREUIL;24172;1,018297;44,934868;2;FR*S24*E24172*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24172*001;LES EYZIES DE TAYAC SIREUIL - Parking Avenue De La Forge;Parking Avenue De La Forge 24620 LES EYZIES DE TAYAC SIREUIL;24172;1,018297;44,934868;2;FR*S24*E24172*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24138*001;COULOUNIEIX CHAMIERS - Place De La Mairie;Place De La Mairie 24660 COULOUNIEIX CHAMIERS;24138;0,689566;45,19173;2;FR*S24*E24138*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24138*001;COULOUNIEIX CHAMIERS - Place De La Mairie;Place De La Mairie 24660 COULOUNIEIX CHAMIERS;24138;0,689566;45,19173;2;FR*S24*E24138*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24382*001;SAINT CAPRAISE DE LALINDE - D660 - Air De Campings Cars;D660 - Air De Campings Cars 24150 SAINT CAPRAISE DE LALINDE;24382;0,652252;44,842112;2;FR*S24*E24382*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24382*001;SAINT CAPRAISE DE LALINDE - D660 - Air De Campings Cars;D660 - Air De Campings Cars 24150 SAINT CAPRAISE DE LALINDE;24382;0,652252;44,842112;2;FR*S24*E24382*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24037*006;BERGERAC - Aire De Covoiturage - Pombonne;Aire De Covoiturage - Pombonne 24100 BERGERAC;24037;0,503334;44,870893;4;FR*S24*E24037*006*3;50;COMBO;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24037*006;BERGERAC - Aire De Covoiturage - Pombonne;Aire De Covoiturage - Pombonne 24100 BERGERAC;24037;0,503334;44,870893;4;FR*S24*E24037*006*1;43;T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24037*006;BERGERAC - Aire De Covoiturage - Pombonne;Aire De Covoiturage - Pombonne 24100 BERGERAC;24037;0,503334;44,870893;4;FR*S24*E24037*006*4;4;EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24037*006;BERGERAC - Aire De Covoiturage - Pombonne;Aire De Covoiturage - Pombonne 24100 BERGERAC;24037;0,503334;44,870893;4;FR*S24*E24037*006*2;50;CHADEMO;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24067*002;LE BUGUE - Place De Pre Saint Louis;Place De Pre Saint Louis 24260 LE BUGUE;24067;0,926065;44,922066;2;FR*S24*E24067*002*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDE 24;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S24*P24067*002;LE BUGUE - Place De Pre Saint Louis;Place De Pre Saint Louis 24260 LE BUGUE;24067;0,926065;44,922066;2;FR*S24*E24067*002*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
