n_amenageur;n_operateur;n_enseigne;ID_station;n_station;ad_station;code_insee;Xlongitude;Xlatitude;nbre_pdc;ID_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
A Cheda;A Cheda;TESLA Recharge à Destination;;A Cheda;Cavallo Morto, Bonifacio,  20169 France;2A041;9.170151;41.405677;4;;7;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
A Cheda;A Cheda;TESLA Recharge à Destination;;A Cheda;Cavallo Morto, Bonifacio,  20169 France;2A041;9.170151;41.405677;4;;7;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
A Cheda;A Cheda;TESLA Recharge à Destination;;A Cheda;Cavallo Morto, Bonifacio,  20169 France;2A041;9.170151;41.405677;4;;7;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
A Cheda;A Cheda;TESLA Recharge à Destination;;A Cheda;Cavallo Morto, Bonifacio,  20169 France;2A041;9.170151;41.405677;4;;7;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
A L'Ecole Buissonière;A L'Ecole Buissonière;TESLA Recharge à Destination;;A L'Ecole Buissonière;4 Rue de la Foulerie, Honfleur,  14600 France;14041;0.231656;49.419542;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
A L'Ecole Buissonière;A L'Ecole Buissonière;TESLA Recharge à Destination;;A L'Ecole Buissonière;4 Rue de la Foulerie, Honfleur,  14600 France;14041;0.231656;49.419542;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aa Saint-Omer Golf Club;Aa Saint-Omer Golf Club;TESLA Recharge à Destination;;Aa Saint-Omer Golf Club;Chemin des bois , Acquin-Westbécourt, Nord-Pas-de-Calais 62380 France;62495;2.088399;50.712398;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aa Saint-Omer Golf Club;Aa Saint-Omer Golf Club;TESLA Recharge à Destination;;Aa Saint-Omer Golf Club;Chemin des bois , Acquin-Westbécourt, Nord-Pas-de-Calais 62380 France;62495;2.088399;50.712398;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aa Saint-Omer Golf Club;Aa Saint-Omer Golf Club;TESLA Recharge à Destination;;Aa Saint-Omer Golf Club;Chemin des bois , Acquin-Westbécourt, Nord-Pas-de-Calais 62380 France;62495;2.088399;50.712398;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Abbaye de Bussiere sur Ouche ;Abbaye de Bussiere sur Ouche ;TESLA Recharge à Destination;;Abbaye de Bussiere sur Ouche ;Abbaye de Bussiere sur Ouche , La Bussiere sur Ouche ,  21360 France;21631;4.724196;47.215767;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Abbaye de Bussiere sur Ouche ;Abbaye de Bussiere sur Ouche ;TESLA Recharge à Destination;;Abbaye de Bussiere sur Ouche ;Abbaye de Bussiere sur Ouche , La Bussiere sur Ouche ,  21360 France;21631;4.724196;47.215767;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Abbaye de Talloires;Abbaye de Talloires;TESLA Recharge à Destination;;Abbaye de Talloires;Chemin des Moines, Talloires-Montmin,  74290  France;74299;6.211284;45.840824;2;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Abbaye de Talloires;Abbaye de Talloires;TESLA Recharge à Destination;;Abbaye de Talloires;Chemin des Moines, Talloires-Montmin,  74290  France;74299;6.211284;45.840824;2;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aigle des Neiges Hotel;Aigle des Neiges Hotel;TESLA Recharge à Destination;;Aigle des Neiges Hotel;Rue de la Poste, Val d'Isère,  73150 France;73304;6.980832;45.447612;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Aigle des Neiges Hotel;Aigle des Neiges Hotel;TESLA Recharge à Destination;;Aigle des Neiges Hotel;Rue de la Poste, Val d'Isère,  73150 France;73304;6.980832;45.447612;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Aigle des Neiges Hotel;Aigle des Neiges Hotel;TESLA Recharge à Destination;;Aigle des Neiges Hotel;Rue de la Poste, Val d'Isère,  73150 France;73304;6.980832;45.447612;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Altapura;Altapura;TESLA Recharge à Destination;;Altapura;Rue du Bouchet , Val Thorens,  73440 France;73257;6.57461;45.297283;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
