ID_station;nom_station;adresse_station;latitude_WSG84;longitude_WSG84;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observations
3100007;E.LECLERC Montluçon;345 AVENUE PRESIDENT AURIOL;46,3201;2,58099;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
9100004;E.LECLERC Saint-Jean-du-Falga;Avenue des Pyrénées;43,084;1,62995;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
15004002;E.LECLERC Aurillac;Rue de la Jordanne;44,9171;2,44069;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
16100004;E.LECLERC Cognac;105 Rue Basse Saint-Martin;45,6864;-0,33798;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
17100006;E.LECLERC Saintes Abbaye;Cours Charles de Gaulle;45,7467;-0,67526;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
41100004;E.LECLERC Vendôme;74 Rue de Courtiras;47,8031;1,04398;SIPLEC;Accélérée;1;T3 et EF;01/10/2014;
17201001;E.LECLERC Royan;Rue Laurent-Antoine de Lavoisier;45,6317;-0,992455;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
33220001;E.LECLERC Port-Sainte-Foy-et-Ponchapt;113 Avenue de Bordeaux;44,8452;0,181275;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
41200003;E.LECLERC Romorantin-Lanthenay;81 Avenue de Paris;47,3776;1,73661;SIPLEC;Accélérée;1;T3 et EF;01/10/2014;
46090002;E.LECLERC Pradines;Route de Luzech;44,4639;1,42115;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
68703001;E.LECLERC Cernay;5 Avenue d'Alsace BP60189;47,7936;7,17025;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
28100002;E.LECLERC Dreux;boulevard de l' Europe;48,737;1,3488;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
2400004;E.LECLERC Château-Thierry;Rue de la Plaine;49,0371;3,39026;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
21200005;E.LECLERC Beaune;Rue Gustave Eiffel;47,0392;4,84639;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
27110002;E.LECLERC Le Neubourg;Route de Louviers;49,1488;0,91934;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
32000004;E.LECLERC Auch;A CLARAC;43,6642;0,591275;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
57100006;E.LECLERC Thionville;20 Route d'Arlon - Linkling 3;49,3628;6,11765;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
80136001;E.LECLERC Rivery;Avenue de la Defense Passive;49,9125;2,33798;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
57290001;E.LECLERC Fameck;Avenue François Mitterrand;49,3069;6,11707;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
67151001;E.LECLERC Erstein;Rue du Printemps;48,426;7,65876;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
76320002;E.LECLERC Saint-Pierre-lès-Elbeuf;Route de Pont de l'Arche;49,2741;1,05167;SIPLEC;Accélérée;8;T3 et EF;01/10/2014;
79400003;E.LECLERC Azay-le-Brûlé;la Plaine d'Azia;46,4073;-0,225;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
27300004;E.LECLERC Menneval;Route de Rouen;49,1048;0,61341;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
