ID_station;nom_station;adresse_station;longitude_WSG84;latitude_WSG84;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observation
REN001;ETABLISSEMENT RENAULT DE BOURG-EN-BRESSE;;46,212732;5,218786;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN002;ETABLISSEMENT RENAULT DE CESSY;;46,305656;6,066023;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN003;ETABLISSEMENT RENAULT DE BELLEGARDE-SUR-VALSERINE;;46,119135;5,810467;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN004;ETABLISSEMENT RENAULT DE LAON;;49,583957;3,647164;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN005;ETABLISSEMENT RENAULT DE SAINT-QUENTIN;;49,850773;3,262393;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN006;ETABLISSEMENT RENAULT DE GUISE;;49,889422;3,625698;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN007;ETABLISSEMENT RENAULT DE SOISSONS;;49,370337;3,353653;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN008;ETABLISSEMENT RENAULT DE CHAUNY;;49,619065;3,222808;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN009;ETABLISSEMENT RENAULT DE CHATEAU-THIERRY;;49,039291;3,385619;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN010;ETABLISSEMENT RENAULT DE HIRSON;;49,933941;4,073001;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN011;ETABLISSEMENT RENAULT DE AVERMES;;46,584882;3,318020;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN012;ETABLISSEMENT RENAULT DE MONTLUCON;;46,353685;2,591755;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN013;ETABLISSEMENT RENAULT DE BELLERIVE-SUR-ALLIER;;46,118322;3,408652;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN014;ETABLISSEMENT RENAULT DE GAP;;44,568680;6,100853;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN015;ETABLISSEMENT RENAULT DE MANOSQUE;;43,821002;5,787012;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN016;ETABLISSEMENT RENAULT DE CANNES;;43,549857;6,962632;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN017;ETABLISSEMENT RENAULT DE ANTIBES;;43,599375;7,087153;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN018;ETABLISSEMENT RENAULT DE CAGNES-SUR-MER;;43,658014;7,170408;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN019;ETABLISSEMENT RENAULT DE DAVEZIEUX;;45,258814;4,698384;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN020;ETABLISSEMENT RENAULT DE CHARLEVILLE-MEZIERES;;49,740542;4,737265;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
