Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2;Fioul - TAC;Fioul - Cogén.;Fioul - Autres;Gaz - TAC;Gaz - Cogén.;Gaz - CCG;Gaz - Autres;Hydraulique - Fil de l?eau + éclusée;Hydraulique - Lacs;Hydraulique - STEP turbinage;Bioénergies - Déchets;Bioénergies - Biomasse;Bioénergies - Biogaz;
2018-01-01;00:00;61127;56800;58900;164;36;2462;42054;10799;-1;8012;-1054;1169;-2512;21;10;90;53;-1;2159;224;80;5997;1624;391;600;291;277;
2018-01-01;00:15;;56250;58300;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;00:30;59962;55700;57700;108;18;2471;37564;10684;-1;8870;-1423;1120;552;21;10;84;3;8;2158;226;79;6100;2558;212;580;281;258;
2018-01-01;00:45;;54800;56750;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;01:00;57879;53900;55800;107;17;2474;35725;10660;-1;8585;-1398;1118;590;22;9;84;3;8;2162;225;78;6028;2364;194;581;279;258;
2018-01-01;01:15;;54300;56200;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;01:30;57901;54700;56600;104;17;2476;35182;10622;-1;8421;-1567;1110;1538;22;9;84;3;8;2165;224;78;6004;2210;207;575;278;257;
2018-01-01;01:45;;54450;56400;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;02:00;57261;54200;56200;104;17;2493;34914;10551;-1;8280;-1747;1111;1539;23;9;84;3;8;2185;222;78;5967;2126;187;579;276;256;
2018-01-01;02:15;;53600;55350;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;02:30;56780;53000;54500;105;17;2505;34923;10434;-1;7470;-1522;1104;1746;23;10;84;3;8;2194;222;80;5806;1664;0;571;277;255;
2018-01-01;02:45;;51900;53600;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;03:00;54727;50800;52700;105;18;2509;34112;10300;-1;7471;-1886;1103;997;24;10;84;3;8;2198;222;81;5677;1498;296;573;277;253;
2018-01-01;03:15;;50000;52100;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;03:30;53596;49200;51500;104;17;2504;34436;10208;-1;7497;-1461;1101;-810;23;9;84;3;8;2190;225;80;5681;1592;224;567;281;254;
2018-01-01;03:45;;48450;50850;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;04:00;52212;47700;50200;105;17;2497;34338;10018;-1;6542;-1463;1102;-944;24;10;85;3;8;2183;225;80;5655;887;0;570;282;250;
2018-01-01;04:15;;47100;49800;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;04:30;51331;46500;49400;105;17;2502;34690;9819;-1;6349;-2015;1101;-1237;24;10;84;3;8;2187;225;82;5444;906;-1;568;283;250;
2018-01-01;04:45;;46150;49150;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;05:00;50629;45800;48900;105;18;2504;34253;9832;-1;6015;-2034;1093;-1156;25;10;84;3;8;2190;223;82;5425;591;-1;563;280;249;
2018-01-01;05:15;;45850;48900;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;05:30;50844;45900;48900;105;17;2489;34416;9954;-1;5967;-2655;1092;-540;25;10;84;3;8;2175;223;83;5402;565;0;559;283;250;
2018-01-01;05:45;;45850;48850;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;06:00;50751;45800;48800;105;17;2485;34682;9840;-1;5986;-2958;1088;-493;25;10;84;3;8;2171;223;83;5391;595;0;554;284;251;
2018-01-01;06:15;;45850;49050;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;06:30;51286;45900;49300;104;17;2481;34966;9828;-1;6358;-2869;1091;-688;24;10;83;3;8;2168;222;83;5443;916;0;554;286;251;
2018-01-01;06:45;;45950;49350;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;07:00;51180;46000;49400;105;17;2489;34768;9871;-1;6442;-2885;1091;-715;24;10;83;4;8;2175;223;82;5505;937;0;555;285;251;
2018-01-01;07:15;;46000;49500;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;07:30;51318;46000;49600;105;17;2481;34834;9980;-1;6566;-2839;1092;-916;24;10;84;3;8;2167;223;83;5581;985;0;559;282;250;
