ID_station;nom_station;adresse_station;latitude;longitude;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observations;source
VinciPark- Lobau;VinciPark- Lobau;4 Rue de Lobau 75004 PARIS;48.86;2.35;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Lobau;VinciPark- Lobau;4 Rue de Lobau 75004 PARIS;48.86;2.35;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Les Arts;VinciPark- Les Arts;Rue de la préfecture 95000 CERGY;49.0364;2.07749;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Les Arts;VinciPark- Les Arts;Rue de la préfecture 95000 CERGY;49.0364;2.07749;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Les Arts;VinciPark- Les Arts;Rue de la préfecture 95000 CERGY;49.0364;2.07749;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Trois Gares;VinciPark- Trois Gares;3 Rue de l'embarquement 95800 CERGY;49.0477;2.00994;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Trois Gares;VinciPark- Trois Gares;3 Rue de l'embarquement 95800 CERGY;49.0477;2.00994;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Trois Gares;VinciPark- Trois Gares;3 Rue de l'embarquement 95800 CERGY;49.0477;2.00994;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Nautilus;VinciPark- Nautilus;18 Boulevard des merveilles 95800 CERGY;49.0518;2.00721;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Nautilus;VinciPark- Nautilus;18 Boulevard des merveilles 95800 CERGY;49.0518;2.00721;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
