,Année,Electricité,Essence,Gazole,Hybride,GPL,Total
0,2010-12-31,187,568175,1556353,0,57892,2210186
1,2011-12-31,2817,1143256,3113756,0,68273,4371114
2,2012-12-31,8478,1619522,4458820,27817,70136,6228127
3,2013-12-31,17259,2149814,5627013,74547,72889,7985079
4,2014-12-31,27826,2739590,6746967,117700,75118,9750934
5,2015-12-31,45095,3475929,7817410,178197,76634,11637163
6,2016-12-31,66853,4351829,8845322,236499,76934,13621634
7,2017-12-31,91763,5345495,9823506,318038,77835,15701149
8,2018-12-31,122708,6520118,10647978,424259,79985,17839749
9,2019-12-31,164970,7787142,11384136,549381,82000,20012716
