,Départements,Année,Electricité,Essence,Gazole,Hybride,GPL,Total
0,Ain,2010,0.0,5192.0,12670.0,0.0,0.0,18564.0
1,Ain,2011,10.0,5590.0,13504.0,0.0,97.0,19334.0
2,Ain,2012,21.0,4927.0,11208.0,246.0,18.0,16424.0
3,Ain,2013,55.0,5465.0,10299.0,352.0,23.0,16196.0
4,Ain,2014,60.0,5921.0,9408.0,314.0,14.0,15717.0
5,Ain,2015,156.0,7083.0,8706.0,471.0,7.0,16426.0
6,Ain,2016,225.0,8329.0,8544.0,445.0,0.0,17544.0
7,Ain,2017,227.0,9199.0,8342.0,690.0,8.0,18471.0
8,Ain,2018,310.0,10608.0,7211.0,975.0,17.0,19123.0
9,Ain,2019,426.0,11177.0,6856.0,1031.0,11.0,19502.0
10,Aisne,2010,0.0,4047.0,15516.0,0.0,0.0,20267.0
11,Aisne,2011,14.0,4360.0,16917.0,0.0,78.0,21428.0
12,Aisne,2012,27.0,3691.0,15455.0,151.0,8.0,19333.0
13,Aisne,2013,76.0,4229.0,13713.0,245.0,20.0,18286.0
14,Aisne,2014,87.0,4455.0,12653.0,224.0,19.0,17439.0
15,Aisne,2015,123.0,6312.0,12218.0,284.0,16.0,18953.0
16,Aisne,2016,150.0,7749.0,13070.0,296.0,0.0,21270.0
17,Aisne,2017,161.0,9338.0,13014.0,515.0,12.0,23041.0
18,Aisne,2018,165.0,11746.0,10677.0,668.0,16.0,23273.0
19,Aisne,2019,260.0,12563.0,10560.0,952.0,5.0,24354.0
20,Allier,2010,0.0,2649.0,7319.0,0.0,0.0,10418.0
21,Allier,2011,8.0,2604.0,7356.0,0.0,61.0,10070.0
22,Allier,2012,11.0,2062.0,5837.0,105.0,11.0,8028.0
23,Allier,2013,26.0,2225.0,5202.0,172.0,13.0,7638.0
24,Allier,2014,36.0,2509.0,4678.0,127.0,8.0,7358.0
25,Allier,2015,61.0,3197.0,4292.0,161.0,11.0,7723.0
26,Allier,2016,84.0,3809.0,4132.0,201.0,0.0,8227.0
27,Allier,2017,96.0,4353.0,3914.0,256.0,7.0,8626.0
