Année,Essence + Superéthanol < 6CV,Essence + Superéthanol 6 à 7CV,Essence + Superéthanol 8CV et +,Hybride essence < 6CV,Hybride essence 6CV et +,Gazole < 6CV,Gazole 6CV et +,Essence-GPL < 6CV,Essence-GPL 6CV et +,Electricité,Total,Hybride gazole
2010,420705.0,101251.0,46219.0,6986.0,2677.0,767366.0,788987.0,75362.0,175.0,187.0,2210186.0,0.0
2011,414153.0,110550.0,50378.0,10981.0,1901.0,693375.0,864028.0,11657.0,209.0,2630.0,2160928.0,0.0
2012,337489.0,93721.0,45056.0,3660.0,14355.0,598812.0,746252.0,1639.0,283.0,5661.0,1857013.0,9802.0
2013,374867.0,111652.0,43773.0,29821.0,2974.0,557872.0,610321.0,1580.0,1174.0,8781.0,1756952.0,13935.0
2014,421781.0,123211.0,44784.0,29696.0,3983.0,546836.0,573118.0,1390.0,860.0,10567.0,1765855.0,9499.0
2015,504511.0,165903.0,65925.0,33344.0,8193.0,493033.0,577410.0,950.0,574.0,17269.0,1886229.0,18960.0
2016,552224.0,232535.0,91141.0,38187.0,15332.0,436605.0,591307.0,205.0,151.0,21758.0,1984471.0,4783.0
2017,577603.0,305593.0,110470.0,59942.0,20287.0,377953.0,600231.0,439.0,504.0,24910.0,2079515.0,1310.0
2018,670818.0,381254.0,122551.0,75485.0,27709.0,273578.0,550894.0,1145.0,1022.0,30945.0,2138600.0,3027.0
2019,700515.0,392605.0,173904.0,69043.0,44303.0,189450.0,546708.0,985.0,1053.0,42262.0,2172967.0,11776.0
