,Départements,Année,Essence + Superéthanol < 6CV,Essence + Superéthanol 6 à 7CV,Essence + Superéthanol 8CV et +,Hybride essence < 6CV,Hybride essence 6CV et +,Gazole < 6CV,Gazole 6CV et +,Essence-GPL < 6CV,Essence-GPL 6CV et +,Electricité,Total,Hybride gazole
0,Ain,2010,3687.0,978.0,527.0,55.0,22.0,6167.0,6503.0,616.0,0.0,0.0,18564.0,0.0
1,Ain,2011,3837.0,1147.0,606.0,107.0,13.0,5835.0,7669.0,94.0,3.0,10.0,19334.0,0.0
2,Ain,2012,3193.0,1123.0,611.0,29.0,126.0,4580.0,6628.0,15.0,3.0,21.0,16424.0,91.0
3,Ain,2013,3536.0,1315.0,614.0,227.0,22.0,4717.0,5582.0,13.0,10.0,55.0,16196.0,103.0
4,Ain,2014,3891.0,1455.0,575.0,204.0,26.0,4452.0,4956.0,8.0,6.0,60.0,15717.0,84.0
5,Ain,2015,4435.0,1777.0,871.0,226.0,80.0,3522.0,5184.0,3.0,4.0,156.0,16426.0,165.0
6,Ain,2016,4818.0,2459.0,1052.0,305.0,110.0,3266.0,5278.0,1.0,0.0,225.0,17544.0,30.0
7,Ain,2017,4809.0,3150.0,1240.0,515.0,165.0,2943.0,5399.0,2.0,6.0,227.0,18471.0,10.0
8,Ain,2018,5751.0,3608.0,1249.0,660.0,271.0,2369.0,4842.0,7.0,10.0,310.0,19123.0,44.0
9,Ain,2019,5873.0,3625.0,1679.0,593.0,332.0,1699.0,5157.0,6.0,5.0,426.0,19502.0,106.0
10,Aisne,2010,2981.0,592.0,474.0,22.0,29.0,7153.0,8363.0,651.0,0.0,0.0,20267.0,0.0
11,Aisne,2011,3177.0,713.0,470.0,36.0,23.0,7520.0,9397.0,77.0,1.0,14.0,21428.0,0.0
12,Aisne,2012,2658.0,643.0,390.0,11.0,66.0,6809.0,8646.0,7.0,1.0,27.0,19333.0,74.0
13,Aisne,2013,3077.0,776.0,376.0,117.0,35.0,6221.0,7492.0,10.0,10.0,76.0,18286.0,93.0
14,Aisne,2014,3317.0,808.0,330.0,114.0,49.0,6078.0,6575.0,14.0,5.0,87.0,17439.0,61.0
15,Aisne,2015,4594.0,1211.0,507.0,107.0,68.0,5624.0,6594.0,14.0,2.0,123.0,18953.0,109.0
16,Aisne,2016,5376.0,1677.0,696.0,128.0,109.0,5204.0,7866.0,3.0,0.0,150.0,21270.0,59.0
17,Aisne,2017,6054.0,2439.0,845.0,333.0,150.0,4794.0,8220.0,6.0,6.0,161.0,23041.0,32.0
18,Aisne,2018,7320.0,3452.0,974.0,386.0,194.0,3117.0,7560.0,7.0,9.0,165.0,23273.0,88.0
19,Aisne,2019,7377.0,3839.0,1347.0,434.0,326.0,2540.0,8020.0,4.0,1.0,260.0,24354.0,192.0
20,Allier,2010,2072.0,403.0,174.0,22.0,5.0,3766.0,3553.0,422.0,0.0,0.0,10418.0,0.0
21,Allier,2011,1999.0,449.0,156.0,37.0,4.0,3504.0,3852.0,59.0,2.0,8.0,10070.0,0.0
22,Allier,2012,1517.0,396.0,149.0,8.0,43.0,2627.0,3210.0,10.0,1.0,11.0,8028.0,54.0
23,Allier,2013,1601.0,509.0,115.0,80.0,14.0,2635.0,2567.0,6.0,7.0,26.0,7638.0,78.0
24,Allier,2014,1824.0,551.0,134.0,84.0,7.0,2410.0,2268.0,5.0,3.0,36.0,7358.0,36.0
25,Allier,2015,2147.0,798.0,252.0,70.0,15.0,2023.0,2269.0,6.0,5.0,61.0,7723.0,76.0
26,Allier,2016,2459.0,1047.0,303.0,141.0,36.0,1784.0,2348.0,0.0,1.0,84.0,8227.0,24.0
27,Allier,2017,2484.0,1450.0,419.0,209.0,45.0,1428.0,2486.0,3.0,4.0,96.0,8626.0,2.0
28,Allier,2018,2928.0,1770.0,472.0,287.0,93.0,1042.0,2223.0,9.0,7.0,122.0,8962.0,9.0
29,Allier,2019,3244.0,1573.0,598.0,246.0,97.0,834.0,2262.0,4.0,3.0,140.0,9049.0,47.0
30,Alpes-Maritimes,2010,11312.0,2792.0,1652.0,190.0,110.0,12507.0,11116.0,1208.0,5.0,3.0,40897.0,0.0
31,Alpes-Maritimes,2011,10616.0,2819.0,1735.0,324.0,83.0,10922.0,12073.0,165.0,4.0,117.0,38861.0,0.0
32,Alpes-Maritimes,2012,9175.0,2405.0,1594.0,100.0,361.0,8370.0,10854.0,26.0,6.0,167.0,33186.0,126.0
33,Alpes-Maritimes,2013,9319.0,2679.0,1487.0,635.0,83.0,8201.0,8895.0,32.0,18.0,138.0,31690.0,202.0
34,Alpes-Maritimes,2014,10128.0,2748.0,1514.0,612.0,94.0,7401.0,8055.0,19.0,13.0,240.0,30970.0,145.0
35,Alpes-Maritimes,2015,12886.0,3453.0,2072.0,635.0,222.0,6144.0,8222.0,20.0,12.0,318.0,34202.0,216.0
36,Alpes-Maritimes,2016,13305.0,4370.0,2619.0,621.0,317.0,5122.0,7885.0,25.0,4.0,417.0,34741.0,49.0
