,ds,yhat,yhat_lower,yhat_upper,y
0,2010-12-31,-2870.350975100453,-6138.269136496876,247.42010478575358,187.0
1,2011-12-31,2842.6244933506096,-441.9282681318657,6051.097232830236,2630.0
2,2012-12-31,4168.086193726991,1038.350831963951,7195.185184119254,5661.0
3,2013-12-31,9112.940463512325,5886.118943912556,12244.644170011865,8781.0
4,2014-12-31,14442.467319320607,11035.508971335588,17538.177924813728,10567.0
5,2015-12-31,20155.602783845294,17180.1070023669,23360.23399776076,17269.0
6,2016-12-31,21481.22492239271,18484.895619152314,24640.67330455169,21758.0
7,2017-12-31,26426.239193616515,23270.354020069957,29942.68161126858,24910.0
8,2018-12-31,31755.926043640793,28565.32103752515,34943.80069753204,30945.0
9,2019-12-31,37469.0615118275,34233.34570265282,40415.697335705714,42262.0
10,2020-12-31,38794.683651893996,35615.239170814435,42070.67646970762,
11,2021-12-31,43739.69792375788,40608.16602236085,46945.30496732165,
