,ds,yhat,yhat_lower,yhat_upper,y
0,2010-12-31,1540097.4329945538,1469459.495003961,1610935.9285367702,1556353.0
1,2011-12-31,1472988.1479509461,1403956.3021441717,1544058.9927862724,1557403.0
2,2012-12-31,1356394.4295909614,1291360.1917751362,1423577.774945023,1345064.0
3,2013-12-31,1260392.5366445654,1191410.3333756523,1325347.454779881,1168193.0
4,2014-12-31,1178843.6557270072,1112297.3477689843,1247911.1121989733,1119954.0
5,2015-12-31,1111799.8706706255,1045273.0712236686,1186506.607999076,1070443.0
6,2016-12-31,995271.8317362869,925463.143628717,1064074.9881841629,1027912.0
7,2017-12-31,899335.43881005,828221.4759159823,970057.9428060364,978184.0
8,2018-12-31,817850.3383575904,746430.6122540043,884396.0942882324,824472.0
9,2019-12-31,750806.5535705686,678053.0458179883,818151.5930936964,736158.0
10,2020-12-31,634278.5148401544,561729.0400450805,698530.7285007038,
11,2021-12-31,538342.1219736303,466621.9097477823,605033.8510513804,
