,ds,yhat,yhat_lower,yhat_upper,y
0,2010-12-31,-3881.3200063968325,-14273.102358623284,6830.6117671964075,0.0
1,2011-12-31,10097.56768280856,-43.70373730171273,21260.873483268682,0.0
2,2012-12-31,19053.78744982642,8693.286188039678,29874.37931315864,27817.0
3,2013-12-31,34425.891686640105,23566.78219863671,44347.470927096394,46730.0
4,2014-12-31,49102.24777871079,38550.43720189828,60345.87054210621,43153.0
5,2015-12-31,63081.13557025107,52140.72156481155,73778.19092285777,60497.0
6,2016-12-31,72037.3554049865,61523.421521056545,83323.7529821957,58302.0
7,2017-12-31,87409.45966494847,76963.15213516289,98520.00276749287,81539.0
8,2018-12-31,102085.81574918302,91805.1319984329,113278.58317852636,106221.0
9,2019-12-31,116064.70351990295,104969.30424067857,126927.56457087262,125122.0
10,2020-12-31,125020.92335322712,114341.07548058814,135536.36833945173,
11,2021-12-31,140393.02762011124,130084.73912568958,151371.2202942253,
